key,de,english,french,ukrainian,italian,swedish,turkish,russian
editGreetings,Grußformel anpassen,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
removeGreetings,Grußformel löschen,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
questionRemoveGreetings,  Grußformel wirklich löschen ?,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
newGreetings,neue Grußformel,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
loginTabEditTranslation,Übersetzung anpassen,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
labelEditLanguage,Anzupassende Sprache wählen :,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
labelEditText,Anzupassenden Text wählen :,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
commitSelection,Auswahl bestätigen,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
cancel,Abbrechen,OK,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
editDBElement,DB Element bearbeiten,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
newElement,Neues Element,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
name,Name,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
shortName,Kürzel,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
streetNumber,Straße,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
postcode,PLZ,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
place,Ort,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
useBranchAdress,Filialadresse in Rechnung verwenden ?,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
email,Email,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
useBranchEmail,Filial-Email in Rechnung verwenden ?,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
category,Kategorie,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
importfolder,Importordner,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
exportfolder,Exportordner,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
accessCommunity,Gesellschaftszugriff,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
editBranchData,Bearbeite Filialdaten,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
saveBranchData,Speichere Filialdaten,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceInvoiceLabelStorno,Storno,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceReason,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
invoiceReasonFalscher Artikel,Falscher Artikel,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
noEntries,keine Einträge,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING
